X,Y,Z
0,0,1190
111,0,1177
222,0,1170
333,0,1164
444,0,1149
555,0,1149
666,0,1165
777,0,1171
888,0,1176
1000,0,1190
0,111,1176
111,111,1160
222,111,1144
333,111,1116
444,111,1106
555,111,1112
666,111,1120
777,111,1145
888,111,1158
1000,111,1171
0,222,1174
111,222,1142
222,222,1115
333,222,1081
444,222,1069
555,222,1072
666,222,1082
777,222,1117
888,222,1140
1000,222,1166
0,333,1154
111,333,1135
222,333,1088
333,333,1047
444,333,1035
555,333,1025
666,333,1054
777,333,1078
888,333,1119
1000,333,1158
0,444,1154
111,444,1115
222,444,1071
333,444,1030
444,444,999
555,444,1003
666,444,1029
777,444,1077
888,444,1116
1000,444,1142
0,555,1152
111,555,1113
222,555,1068
333,555,1034
444,555,1011
555,555,1011
666,555,1027
777,555,1070
888,555,1116
1000,555,1155
0,666,1154
111,666,1125
222,666,1082
333,666,1047
444,666,1035
555,666,1038
666,666,1052
777,666,1093
888,666,1127
1000,666,1154
0,777,1169
111,777,1151
222,777,1114
333,777,1096
444,777,1058
555,777,1076
666,777,1088
777,777,1113
888,777,1144
1000,777,1157
0,888,1177
111,888,1164
222,888,1151
333,888,1123
444,888,1111
555,888,1112
666,888,1130
777,888,1145
888,888,1160
1000,888,1181
0,1000,1188
111,1000,1183
222,1000,1164
333,1000,1155
444,1000,1149
555,1000,1143
666,1000,1158
777,1000,1168
888,1000,1178
1000,1000,1186
